,index,Unnamed: 0,시군구,소재지,Latitude,Longitude,구분,geometry,facility_id,버스정류장,자전거정류장,주차장,지하철
64.0,80,109,창원시,경상남도 창원시 마산합포구 신포동1가 2-10 신우희가로밀리온 601호,35.1986067,128.5713737,유원시설업(기타),POINT (128.5713737 35.1986067),73,12.0,3.0,0.0,0.0
65.0,81,110,창원시,"경상남도 창원시 의창구 북면 감계리 234-3번지 MG빌딩,601 602호 ",35.2989714,128.5871345,유원시설업(기타),POINT (128.5871345 35.2989714),74,7.0,4.0,0.0,0.0
66.0,82,111,창원시,경상남도 창원시 성산구 상남동 80 롯데백화점창원점(신관) 7층호,35.2245748,128.6830114,유원시설업(기타),POINT (128.6830114 35.2245748),75,18.0,6.0,3.0,0.0
67.0,83,112,창원시,경상남도 창원시 마산회원구 내서읍 삼계리 742번지,35.2342397,128.4904907,유원시설업(기타),POINT (128.4904907 35.2342397),76,9.0,2.0,0.0,0.0
68.0,84,113,창원시,경상남도 창원시 마산회원구 양덕동 12-30번지 생명장한의원,35.2326858,128.5829676,유원시설업(기타),POINT (128.5829676 35.2326858),77,14.0,1.0,0.0,0.0
69.0,85,114,창원시,경상남도 창원시 진해구 석동 141-1,35.1522318,128.7037883,유원시설업(기타),POINT (128.7037883 35.1522318),78,34.0,6.0,0.0,0.0
70.0,86,115,창원시,경상남도 창원시 마산회원구 양덕동 51-31번지 금천빌딩,35.2297516,128.5854166,유원시설업(기타),POINT (128.5854166 35.2297516),79,9.0,1.0,0.0,0.0
71.0,87,116,창원시,경상남도 창원시 마산회원구 양덕동 535,35.2268808,128.5788233,유원시설업(기타),POINT (128.5788233 35.2268808),80,27.0,6.0,0.0,0.0
72.0,88,117,창원시,경상남도 창원시 마산회원구 내서읍 삼계리 26-6,35.2322424,128.5034981,유원시설업(기타),POINT (128.5034981 35.2322424),81,9.0,2.0,0.0,0.0
73.0,89,118,창원시,경상남도 창원시 마산합포구 현동 374 7층 701호,35.1505937,128.5540035,유원시설업(기타),POINT (128.5540035 35.1505937),82,20.0,13.0,4.0,0.0
74.0,90,119,창원시,경상남도 창원시 성산구 가음동 7-2 더원빌딩 403호,35.2096137,128.6889634,유원시설업(기타),POINT (128.6889634 35.2096137),83,5.0,0.0,0.0,0.0
75.0,91,120,창원시,경상남도 창원시 마산합포구 산호동 338-37,35.2086116,128.5824478,유원시설업(기타),POINT (128.5824478 35.2086116),84,22.0,4.0,1.0,0.0
76.0,92,121,창원시,경상남도 창원시 진해구 용원동 1212-16,35.1016721,128.8114962,유원시설업(기타),POINT (128.8114962 35.1016721),85,11.0,6.0,0.0,0.0
77.0,93,122,창원시,경상남도 창원시 마산회원구 내서읍 삼계리 27-2,35.2323655,128.5044402,유원시설업(기타),POINT (128.5044402 35.2323655),86,14.0,4.0,1.0,0.0
78.0,94,123,창원시,경상남도 창원시 마산합포구 교방동 511,35.2167191,128.5623296,유원시설업(기타),POINT (128.5623296 35.2167191),87,7.0,4.0,0.0,0.0
79.0,95,124,창원시,경상남도 창원시 진해구 석동 142-2,35.1518017,128.7027218,유원시설업(기타),POINT (128.7027218 35.1518017),88,16.0,1.0,1.0,0.0
80.0,96,125,창원시,경상남도 창원시 마산합포구 해운동 5-95 1층 105호,35.1793105,128.5592931,유원시설업(기타),POINT (128.5592931 35.1793105),89,6.0,3.0,0.0,0.0
81.0,97,126,창원시,경상남도 창원시 마산합포구 창동 137-2,35.2059388,128.5751959,유원시설업(기타),POINT (128.5751959 35.2059388),90,3.0,7.0,0.0,0.0
82.0,98,127,창원시,경상남도 창원시 의창구 팔용동 30-1번지,35.234597,128.641997,유원시설업(기타),POINT (128.641997 35.234597),91,15.0,1.0,0.0,0.0
83.0,99,128,창원시,경상남도 창원시 의창구 동읍 월잠리 95번지,35.3071595,128.6869604,유원시설업(기타),POINT (128.6869604 35.3071595),92,16.0,3.0,1.0,0.0
84.0,100,129,창원시,경상남도 창원시 마산합포구 구산면 반동리 산 121-1,35.0802855,128.5843801,유원시설업(기타),POINT (128.5843801 35.0802855),93,16.0,1.0,1.0,0.0
