"연도","시도군","분기","주중/말","시간대","성별","인구수"
"2024","김해시","3분기","평일","야간","여","19143667"
"2024","김해시","3분기","평일","오전","남","20002521"
"2024","김해시","3분기","평일","오전","여","18967383"
"2024","김해시","3분기","평일","오후","남","19920457"
"2024","김해시","3분기","평일","오후","여","18849179"
"2024","김해시","3분기","주말","새벽","남","8075877"
"2024","김해시","3분기","주말","새벽","여","7685234"
"2024","김해시","3분기","주말","야간","남","8027821"
"2024","김해시","3분기","주말","야간","여","7648942"
"2024","김해시","3분기","주말","오전","남","8058809"
"2024","김해시","3분기","주말","오전","여","7647527"
"2024","김해시","3분기","주말","오후","남","8046062"
"2024","김해시","3분기","주말","오후","여","7618167"
"2024","김해시","4분기","평일","새벽","남","20527444"
"2024","김해시","4분기","평일","새벽","여","19448468"
"2024","김해시","4분기","평일","야간","남","20349459"
"2024","김해시","4분기","평일","야간","여","19290459"
"2024","김해시","4분기","평일","오전","남","20112172"
"2024","김해시","4분기","평일","오전","여","19055899"
"2024","김해시","4분기","평일","오후","남","19981327"
"2024","김해시","4분기","평일","오후","여","18873556"
"2024","김해시","4분기","주말","새벽","남","8159918"
"2024","김해시","4분기","주말","새벽","여","7723147"
"2024","김해시","4분기","주말","야간","남","8119308"
"2024","김해시","4분기","주말","야간","여","7701960"
"2024","김해시","4분기","주말","오전","여","7647057"
"2024","김해시","4분기","주말","오전","남","8090735"
"2024","김해시","4분기","주말","오후","남","8074647"
"2024","김해시","4분기","주말","오후","여","7603848"
"2024","남해군","1분기","평일","새벽","남","1953386"
"2024","남해군","1분기","평일","새벽","여","1784579"
"2024","남해군","1분기","평일","야간","남","1958748"
"2024","남해군","1분기","평일","야간","여","1784318"
"2024","남해군","1분기","평일","오전","남","1974733"
"2024","남해군","1분기","평일","오전","여","1777996"
"2024","남해군","1분기","평일","오후","남","1986138"
"2024","남해군","1분기","평일","오후","여","1791769"
"2024","남해군","1분기","주말","새벽","남","884658"
"2024","남해군","1분기","주말","새벽","여","820230"
"2024","남해군","1분기","주말","야간","남","844552"
"2024","남해군","1분기","주말","야간","여","780488"
"2024","남해군","1분기","주말","오전","남","899124"
"2024","남해군","1분기","주말","오전","여","826385"
"2024","남해군","1분기","주말","오후","여","834900"
"2024","남해군","1분기","주말","오후","남","896271"
"2024","남해군","2분기","평일","새벽","남","2008634"
"2024","남해군","2분기","평일","새벽","여","1854054"
"2024","남해군","2분기","평일","야간","남","2004465"
"2024","남해군","2분기","평일","야간","여","1842463"
"2024","남해군","2분기","평일","오전","남","2035871"
"2024","남해군","2분기","평일","오전","여","1858941"
"2024","남해군","2분기","평일","오후","남","2051208"
"2024","남해군","2분기","평일","오후","여","1881012"
"2024","남해군","2분기","주말","새벽","여","851555"
"2024","남해군","2분기","주말","새벽","남","912043"
"2024","남해군","2분기","주말","야간","남","887547"
"2024","남해군","2분기","주말","야간","여","833955"
"2024","남해군","2분기","주말","오전","남","923285"
"2024","남해군","2분기","주말","오전","여","863792"
"2024","남해군","2분기","주말","오후","남","927211"
"2024","남해군","2분기","주말","오후","여","881402"
"2024","남해군","3분기","평일","새벽","남","2159099"
"2024","남해군","3분기","평일","새벽","여","1995385"
"2024","남해군","3분기","평일","야간","남","2132896"
"2024","남해군","3분기","평일","야간","여","1965026"
"2024","남해군","3분기","평일","오전","남","2166053"
"2024","남해군","3분기","평일","오전","여","1983545"
"2024","남해군","3분기","평일","오후","남","2171838"
"2024","남해군","3분기","평일","오후","여","1992674"
"2024","남해군","3분기","주말","새벽","남","946782"
