사업장명,지번주소,도로명주소,인허가일자,영업상태,상세영업상태,구분
자람동산,경상남도 김해시 주촌면 선지리 479-1 ,경상남도 김해시 주촌면 동선길 38,2022-05-27,영업/정상,영업중,유원시설업(기타)
블루매직랜드,경상남도 거제시 일운면 지세포리 929-105 거제조선해양문화관 ,"경상남도 거제시 일운면 지세포해안로 25, 거제조선해양문화관",2021-06-07,영업/정상,영업중,유원시설업(기타)
천문대오토캠핑장,경상남도 김해시 생림면 나전리 30-6 ,경상남도 김해시 생림면 인제로 545-59,2021-06-09,영업/정상,영업중,유원시설업(기타)
극락암,경상남도 창녕군 창녕읍 옥천리 397 ,경상남도 창녕군 창녕읍 새말길 142,1988-06-10,영업/정상,,전통사찰
어메이징파크(주)함안,경상남도 함안군 산인면 입곡리 1087-2 ,경상남도 함안군 산인면 입곡공원길 224-71,2022-06-17,영업/정상,영업중,유원시설업(기타)
위더스글램핑,경상남도 창녕군 남지읍 반포리 627-1 ,"경상남도 창녕군 남지읍 박진로 627, 위더스글램핑",2022-06-20,영업/정상,영업중,유원시설업(기타)
(주)히어로플레이파크 진주점,경상남도 진주시 충무공동 277-7 ,"경상남도 진주시 충의로 119, 아슬란스포츠몰 3층 A311~A316호 (충무공동)",2021-06-22,영업/정상,영업중,유원시설업(기타)
밀양 가보자 캠핑장,경상남도 밀양시 단장면 법흥리 326-6 ,경상남도 밀양시 단장면 단장로 905,2021-06-25,영업/정상,영업중,유원시설업(기타)
봉스글램핑,경상남도 거창군 마리면 율리 345 ,경상남도 거창군 마리면 풍계1길 27-71,2021-08-10,영업/정상,영업중,유원시설업(기타)
펏스원,경상남도 창원시 마산합포구 구산면 반동리 산 105 중앙광장동 ,"경상남도 창원시 마산합포구 구산면 로봇랜드로 250, 중앙광장동",2021-08-12,영업/정상,영업중,유원시설업(기타)
남해스포츠파크호텔,경상남도 남해군 서면 서상리 1182-9 남해스포츠파크호텔 ,"경상남도 남해군 서면 스포츠파크길 73, 남해스포츠파크호텔",2020-07-01,영업/정상,영업중,유원시설업(기타)
거창서핑파크,경상남도 거창군 위천면 장기리 140 ,경상남도 거창군 위천면 거차1길 23-18,2021-11-12,영업/정상,영업중,유원시설업(기타)
고성장좌리캠핑장,경상남도 고성군 동해면 장좌리 944-1 ,경상남도 고성군 동해면 구절로 186-17,2021-12-03,영업/정상,영업중,유원시설업(기타)
와따플레이 양산점,경상남도 양산시 중부동 685-2 인터불고몰 ,"경상남도 양산시 중부로 2, 인터불고몰 7층 (중부동)",2021-12-13,영업/정상,영업중,유원시설업(기타)
스카이랜드,경상남도 김해시 진영읍 진영리 275-25 ,경상남도 김해시 진영읍 여래로20번길 57,2020-07-10,영업/정상,영업중,유원시설업(기타)
자양보 오토 캠핑장,경상남도 산청군 시천면 사리 258-8 ,경상남도 산청군 시천면 남명로 392-23,2022-02-04,영업/정상,영업중,유원시설업(기타)
주식회사 케이커머스2,경상남도 김해시 외동 1264 ,"경상남도 김해시 김해대로 2232, 이마트 1층 (외동)",2022-01-07,영업/정상,영업중,유원시설업(기타)
몬스터파크 주식회사 마산점,"경상남도 창원시 마산회원구 양덕동 151-1 삼성홈플러스, 5층 ","경상남도 창원시 마산회원구 삼호로 56, 삼성홈플러스 5층 (양덕동)",2021-12-30,영업/정상,영업중,유원시설업(기타)
용추솔밭관광농원,경상남도 함양군 안의면 상원리 757-19 관광농원 ,"경상남도 함양군 안의면 용추계곡로 494-6, 관광농원",2022-02-07,영업/정상,영업중,유원시설업(기타)
연호사,경상남도 합천군 합천읍 합천리 203 ,경상남도 합천군 합천읍 죽죽길 80,1988-06-10,영업/정상,,전통사찰
윌리코키 진주점,경상남도 진주시 충무공동 225-1 드림어반스퀘어 ,"경상남도 진주시 에나로127번길 30, 드림어반스퀘어 3층 (충무공동)",2022-03-10,영업/정상,영업중,유원시설업(기타)
함양라온캠핑장,경상남도 함양군 서하면 황산리 10-2 ,"경상남도 함양군 서하면 육십령로 2991, 황석산청소년수련원",2022-02-07,영업/정상,영업중,유원시설업(기타)
꿈그린터(키즈카페),경상남도 하동군 하동읍 읍내리 457 ,경상남도 하동군 하동읍 청년회관길 8-21,2022-02-25,영업/정상,영업중,유원시설업(기타)
(주)드윌,경상남도 함안군 산인면 모곡리 816 ,"경상남도 함안군 산인면 대천길 229, 드월연수원",2022-06-23,영업/정상,영업중,유원시설업(기타)
팔팔수산,경상남도 고성군 마암면 보전리 551-15 ,경상남도 고성군 마암면 당항만로 687,2022-06-24,영업/정상,영업중,유원시설업(기타)
의림사,경상남도 창원시 마산합포구 진북면 인곡리 439 ,경상남도 창원시 마산합포구 진북면 의림로 382,1988-06-10,영업/정상,,전통사찰
불곡사,경상남도 창원시 대방동 1036 - 1 ,경상남도 창원시 성산구 대암로 55 (대방동),1989-08-07,영업/정상,,전통사찰
호국사,경상남도 진주시 남성동 214 - 5 ,경상남도 진주시 남강로 626-71 (남성동),1988-09-10,영업/정상,,전통사찰
성주사,경상남도 창원시 천선동 102 ,경상남도 창원시 성산구 곰절길 191 (천선동),1988-06-10,영업/정상,,전통사찰
의곡사,경상남도 진주시 상봉동 415 - 1 ,경상남도 진주시 의곡길 72 (상봉동),1988-06-10,영업/정상,,전통사찰
우곡사,경상남도 창원시 의창구 동읍 단계리 7 ,경상남도 창원시 의창구 동읍 자여로 459,1973-12-04,영업/정상,,전통사찰
거창창포원 키즈카페,경상남도 거창군 남상면 월평리 2286 ,경상남도 거창군 남상면 창포원길 21-1,2020-03-23,영업/정상,영업중,유원시설업(기타)
