사업장명,지번주소,도로명주소,인허가일자,영업상태,상세영업상태,구분
점핑스타 벽산점,경상남도 거제시 상동동 925-3번지 ,"경상남도 거제시 상동5길 115, 2동 4층 402~403호 (상동동)",2019-12-26,영업/정상,영업중,유원시설업(기타)
점핑스타 상동점,경상남도 거제시 상동동 476-16번지 ,"경상남도 거제시 계룡로 56, 2층 (상동동)",2019-12-12,영업/정상,영업중,유원시설업(기타)
라크씨엘,경상남도 거제시 수월동 1110-3번지 ,"경상남도 거제시 수양로 448-21, 세정빌딩 201호 (수월동)",2018-11-21,영업/정상,영업중,유원시설업(기타)
거제오션뷰카트장,경상남도 거제시 일운면 망치리 699번지 ,경상남도 거제시 일운면 거제대로 1514-18,2019-03-27,영업/정상,영업중,유원시설업(기타)
상문동 행복누림문화센터 놀이방,경상남도 거제시 상동동 167-11 ,"경상남도 거제시 거제중앙로 1641, 행복누림문화센터 2층 (상동동)",2019-03-27,영업/정상,영업중,유원시설업(기타)
라크씨엘 상동점,경상남도 거제시 상동동 910-16번지 ,"경상남도 거제시 상동5길 84, 3층 (상동동)",2019-04-11,영업/정상,영업중,유원시설업(기타)
슈슈봉봉 거제점,경상남도 거제시 고현동 989-13번지 해원빌딩 ,"경상남도 거제시 중곡1로 48, 해원빌딩 2층 (고현동)",2018-09-19,영업/정상,영업중,유원시설업(기타)
바운스,경상남도 거제시 장목면 농소리 25 ,"경상남도 거제시 장목면 거제북로 2501-40, 한화리조트거제벨버디어",2018-09-21,영업/정상,영업중,유원시설업(기타)
야사노(거제옥포점),경상남도 거제시 옥포동 420-2번지 ,"경상남도 거제시 옥포로10길 24-1, 2층 (옥포동)",2017-08-25,영업/정상,영업중,유원시설업(기타)
아지트,경상남도 거제시 덕포동 367-1 ,경상남도 거제시 덕포5길 26 (덕포동),2017-07-12,영업/정상,영업중,유원시설업(기타)
빠방 키즈레이싱 파크,경상남도 거제시 아주동 1692-5번지 ,"경상남도 거제시 아주1로 8, 3층 (아주동, 스타타워2차)",2017-04-04,영업/정상,영업중,유원시설업(기타)
인형뽑기(Toy clane),경상남도 거제시 아주동 1697-4번지 ,경상남도 거제시 아주1로 27 (아주동),2016-10-10,영업/정상,영업중,유원시설업(기타)
스타스페이스,경상남도 거제시 고현동 961-57번지 ,"경상남도 거제시 고현로11길 20 (고현동, 엠파크)",2016-12-16,영업/정상,영업중,유원시설업(기타)
노리파크 거제상동점,경상남도 거제시 상동동 735번지 상가동 지하101호,"경상남도 거제시 상동7길 30-1, 상가동 지하1층 101호 (상동동)",2014-08-07,영업/정상,영업중,유원시설업(기타)
롤리폴리(옥포점),경상남도 거제시 옥포동 1293-1번지 ,경상남도 거제시 옥포로 250 (옥포동),2014-09-11,영업/정상,영업중,유원시설업(기타)
차타타 거제장평점,경상남도 거제시 장평동 141-1번지 ,경상남도 거제시 장평4로 63 (장평동),2017-01-19,영업/정상,영업중,유원시설업(기타)
리틀히어로 ZOO,경상남도 양산시 물금읍 범어리 2710-1 유림노르웨이숲 ,"경상남도 양산시 물금읍 범구로 14, BG동 1호 (유림노르웨이숲)",2019-06-28,영업/정상,영업중,유원시설업(기타)
캠핑라운드 트램플린,경상남도 양산시 상북면 석계리 900-1 ,경상남도 양산시 상북면 구소석5길 20,2019-06-27,영업/정상,영업중,유원시설업(기타)
소석힐링캠핑장,경상남도 양산시 상북면 소석리 163번지 ,,2019-09-18,영업/정상,영업중,유원시설업(기타)
무릉도원,경상남도 양산시 원동면 영포리 702-2번지 ,경상남도 양산시 원동면 어영길 170,2019-09-02,영업/정상,영업중,유원시설업(기타)
탑게임랜드,경상남도 양산시 중부동 691-3번지 가가네양곱창 ,경상남도 양산시 양산역3길 14 (중부동),2019-07-17,영업/정상,영업중,유원시설업(기타)
잭슨나인스 양산,경상남도 양산시 물금읍 가촌리 1292 라피에스타 ,"경상남도 양산시 물금읍 증산역로 177, 지하1층 B-002, B-005호",2019-12-12,영업/정상,영업중,유원시설업(기타)
맥스라이더,경상남도 양산시 물금읍 가촌리 1292 라피에스타 ,"경상남도 양산시 물금읍 증산역로 177, 지하1층 B-008, B-009, B-010호",2019-05-09,영업/정상,영업중,유원시설업(기타)
히어로스포츠파크,경상남도 양산시 물금읍 범어리 2710-1 유림노르웨이숲 ,"경상남도 양산시 물금읍 범구로 14, BI동 1호 (유림노르웨이숲)",2019-05-03,영업/정상,영업중,유원시설업(기타)
코쿤키즈카페,경상남도 양산시 명동 ,경상남도 양산시 대운로 167 (명동),2017-05-10,영업/정상,영업중,유원시설업(기타)
판다월드,경상남도 양산시 북정동 432번지 ,"경상남도 양산시 북정중앙로 51 (북정동, 성서침례교회)",2017-01-25,영업/정상,영업중,유원시설업(기타)
(주)양산차타타,경상남도 양산시 명동 1080-5번지 ,"경상남도 양산시 대운로 174, 3층 (명동)",2016-09-28,영업/정상,영업중,유원시설업(기타)
킹콩점프,경상남도 양산시 물금읍 가촌리 1301-1번지 ,"경상남도 양산시 물금읍 야리로 106, 4층 (남양산새마을금고)",2016-09-05,영업/정상,영업중,유원시설업(기타)
쁘띠몽드,경상남도 양산시 물금읍 가촌리 1301-2번지 ,"경상남도 양산시 물금읍 서들로 148, 6층 605호",2016-07-22,영업/정상,영업중,유원시설업(기타)
점포러스,경상남도 양산시 평산동 120-4번지 ,경상남도 양산시 평산12길 19-9 (평산동),2014-06-23,영업/정상,영업중,유원시설업(기타)
(주)락스타클럽,경상남도 양산시 물금읍 가촌리 1293-9번지 ,경상남도 양산시 물금읍 야리2길 45,2018-05-14,영업/정상,영업중,유원시설업(기타)
궁디팡팡,경상남도 의령군 의령읍 서동리 484-5번지 ,"경상남도 의령군 의령읍 의병로 215, 3층 (의령농협서동지소)",2017-01-01,영업/정상,영업중,유원시설업(기타)
꼬마로맨스,경상남도 창녕군 남지읍 남지리 986-12 ,경상남도 창녕군 남지읍 남지중앙로 75,2018-08-28,영업/정상,영업중,유원시설업(기타)
햇살가득민박,경상남도 고성군 하이면 월흥리 726-1번지 ,경상남도 고성군 하이면 자란만로 767-19,2018-03-26,영업/정상,영업중,유원시설업(기타)
롤리폴리,경상남도 고성군 고성읍 동외리 181-8 ,"경상남도 고성군 고성읍 중앙로 108, 2층",2016-08-16,영업/정상,영업중,유원시설업(기타)
남해에어로마린(주),경상남도 남해군 서면 서상리 1182-9번지 ,경상남도 남해군 서면 스포츠파크길 73,2011-07-18,영업/정상,영업중,유원시설업(기타)
숲속정원관광농원,경상남도 산청군 신등면 모례리 756-5번지 숲속정원관광농원 ,"경상남도 산청군 신등면 정곡척지로 674, 숲속정원관광농원",2019-09-26,영업/정상,영업중,유원시설업(기타)
용추솔밭관광농원,경상남도 함양군 안의면 상원리 757-19 관광농원 ,"경상남도 함양군 안의면 용추계곡로 494-6, 관광농원",2019-11-12,영업/정상,영업중,유원시설업(기타)
점프스토리,경상남도 거창군 거창읍 대동리 699-1번지 선보프라자 201호,"경상남도 거창군 거창읍 거창대로 100, 201호 (선보프라자)",2014-09-05,영업/정상,영업중,유원시설업(기타)
(주) 사이다,경상남도 합천군 용주면 가호리 418 ,경상남도 합천군 용주면 합천호수로 757 (촬영세트),2017-10-10,영업/정상,영업중,유원시설업(기타)
꼬마대통령 창원상남점,경상남도 창원시 성산구 상남동 45-1 성원아파트 ,"경상남도 창원시 성산구 동산로 124, 성원종합상가 6층 607-1,2호 (상남동)",2020-01-08,영업/정상,영업중,유원시설업(기타)
더놀다 창원용호점,경상남도 창원시 성산구 용호동 73-1 레이크펄스 ,"경상남도 창원시 성산구 용지로169번길 15, 레이크펄스 701호 (용호동)",2019-01-29,영업/정상,영업중,유원시설업(기타)
뛰뛰방방,경상남도 창원시 진해구 여좌동 761-5번지 ,경상남도 창원시 진해구 충장로 121 (여좌동),2019-04-03,영업/정상,영업중,유원시설업(기타)
와우점핑,경상남도 창원시 진해구 이동 2-2번지 ,경상남도 창원시 진해구 진해대로776번길 27 (이동),2019-04-03,영업/정상,영업중,유원시설업(기타)
몬스터키즈,경상남도 창원시 진해구 풍호동 806-18 ,"경상남도 창원시 진해구 진해대로1047번길 8, 청해아트리움 1층 (풍호동)",2019-05-16,영업/정상,영업중,유원시설업(기타)
샤샤의 놀이터,경상남도 창원시 의창구 봉림동 713-4 ,"경상남도 창원시 의창구 대봉로 14, 두성빌딩 601호 (봉림동)",2019-05-13,영업/정상,영업중,유원시설업(기타)
타요키즈카페 홈플러스 창원점,경상남도 창원시 의창구 팔용동 30-3 삼성홈플러스 ,"경상남도 창원시 의창구 창원대로 415, 삼성홈플러스 4층 (팔용동)",2019-05-28,영업/정상,영업중,유원시설업(기타)
트리니티,경상남도 창원시 의창구 북면 감계리 236-1 ,"경상남도 창원시 의창구 북면 감계로110번길 54-7, 이엠프라자 6층",2019-05-08,영업/정상,영업중,유원시설업(기타)
큐리키즈카페,경상남도 창원시 진해구 자은동 136-1번지 자은스퀘어 ,"경상남도 창원시 진해구 냉천남로 3-10, 자은스퀘어 (자은동)",2019-05-03,영업/정상,영업중,유원시설업(기타)
샤랄랄라키즈카페,경상남도 창원시 성산구 가음동 47-2 ,"경상남도 창원시 성산구 가음로 100, 지하 1층 (가음동)",2018-10-30,영업/정상,영업중,유원시설업(기타)
