,시군구,소재지,구분
314,김해시,경상남도 김해시 삼방동 산 123 ,종합유원시설업
321,김해시,경상남도 김해시 유하동 88번지 ,종합휴양업
322,김해시,경상남도 김해시 유하동 88 ,전문휴양업
327,산청군,경상남도 산청군 시천면 동당리 577 덕산관광휴양지 ,유원시설업(기타)
330,김해시,경상남도 김해시 주촌면 선지리 479-1 ,유원시설업(기타)
332,김해시,경상남도 김해시 생림면 나전리 30-6 ,유원시설업(기타)
339,창원시,경상남도 창원시 마산합포구 구산면 반동리 산 105 중앙광장동 ,유원시설업(기타)
344,김해시,경상남도 김해시 진영읍 진영리 275-25 ,유원시설업(기타)
345,산청군,경상남도 산청군 시천면 사리 258-8 ,유원시설업(기타)
346,김해시,경상남도 김해시 외동 1264 ,유원시설업(기타)
347,창원시,"경상남도 창원시 마산회원구 양덕동 151-1 삼성홈플러스, 5층 ",유원시설업(기타)
1,김해시,김해시 한림면 김해대로 1029-20,박물관
5,김해시,김해시 가야의길 126 (대성동),박물관
7,창원시,창원시 진해구 중원로 1,박물관
17,창원시,창원시 진해구 중원동로 52 (제황산동),박물관
20,김해시,김해시 인제로 197 (어방동),박물관
21,창원시,창원시 의창구 퇴촌로 92 (퇴촌동),박물관
22,산청군,산청군 금서면 동의보감로 555,박물관
